intent_미납요금_조회	근데 요금 안 냈는데 내 폰 그럼 정지야?	폰	Mobile						
intent_미납요금_조회	금월 기준 납부 안 된 컨텐츠 요금 있니?	금월	Relative_Month_Present	컨텐츠	Contents_Payment				
intent_미납요금_조회	금월 기준 미납 컨텐츠 사용료	금월	Relative_Month_Present	컨텐츠	Contents_Payment				
intent_미납요금_조회	금월 기준 미납된 로밍 요금	금월	Relative_Month_Present	로밍	Roaming				
intent_미납요금_조회	금월 납부 안 된 로밍 요금	금월	Relative_Month_Present	로밍	Roaming				
intent_미납요금_조회	금월 납부 안 한 요금 얼만지 알려주십시오	납부 안 한 요금	Payment_Unpaid	금월	Relative_Month_Present				
intent_미납요금_조회	금월 납부하지 않은 요금 얼마입니까?	납부하지 않은 요금	Payment_Unpaid	금월	Relative_Month_Present				
intent_미납요금_조회	금월 로밍 미납 내역	금월	Relative_Month_Present	로밍	Roaming				
intent_미납요금_조회	금월 로밍 연체 금액 어떻게 확인하나요?	금월	Relative_Month_Present	로밍	Roaming	연체 금액	Payment_Unpaid		
intent_미납요금_조회	금월 로밍 요금 미납 현황 보여줘	금월	Relative_Month_Present	로밍	Roaming				
intent_미납요금_조회	금월 미납 로밍 요금 확인 좀 하자	금월	Relative_Month_Present	로밍	Roaming				
intent_미납요금_조회	금월 미납 상태 로밍 요금 조회	금월	Relative_Month_Present	로밍	Roaming				
intent_미납요금_조회	금월 미납 요금 보여주세요	미납 요금	Payment_Unpaid	금월	Relative_Month_Present				
intent_미납요금_조회	금월 미납 요금 조회 부탁해	미납 요금	Payment_Unpaid	금월	Relative_Month_Present				
intent_미납요금_조회	금월 미납분에 콘텐츠 관련도 있나요?	금월	Relative_Month_Present	콘텐츠	Contents_Payment	미납분	Payment_Unpaid		
intent_미납요금_조회	금월 미납인 로밍 요금	금월	Relative_Month_Present	로밍	Roaming				
intent_미납요금_조회	금월 미납한 콘텐츠 이용료 얼마죠?	금월	Relative_Month_Present	콘텐츠	Contents_Payment				
intent_미납요금_조회	금월 소액결제 요금 미납 상태인지 아닌지 어디에서 확인하나요?	소액결제	Micro_Payment	금월	Relative_Month_Present				
intent_미납요금_조회	금월 소액결제 요금 미납 상태인지 알아보려면 어떻게 해요?	소액결제	Micro_Payment	금월	Relative_Month_Present				
intent_미납요금_조회	금월 소액결제 요금 미납 상태인지 어떻게 확인할 수 있나요?	소액결제	Micro_Payment	금월	Relative_Month_Present				
intent_미납요금_조회	금월 소액결제 요금 미납 상태인지 확인하려면 어디에서 보나요?	소액결제	Micro_Payment	금월	Relative_Month_Present				
intent_미납요금_조회	금월 소액결제 요금이 미납 상태로 되어 있나요?	소액결제	Micro_Payment	금월	Relative_Month_Present				
intent_미납요금_조회	금월 소액결제 요금이 미납 상태인지 아닌지 좀 알려주라	소액결제	Micro_Payment	금월	Relative_Month_Present				
intent_미납요금_조회	금월 연체 상태인 로밍 요금 확인 좀	금월	Relative_Month_Present	로밍	Roaming				
intent_미납요금_조회	금월 연체 요금 확인 가능할까요?	연체 요금	Payment_Unpaid	금월	Relative_Month_Present				
intent_미납요금_조회	금월 연체 요금 확인할 수 있어요?	연체 요금	Payment_Unpaid	금월	Relative_Month_Present				
intent_미납요금_조회	금월 연체된 로밍 요금 조회	금월	Relative_Month_Present	로밍	Roaming				
intent_미납요금_조회	금월 연체된 요금 좀 볼게요	연체된 요금	Payment_Unpaid	금월	Relative_Month_Present				
intent_미납요금_조회	금월 연체한 요금 보려면 어떻게 하면 되나요?	연체한 요금	Payment_Unpaid	금월	Relative_Month_Present				
intent_미납요금_조회	금월 요금 중 로밍 미납액 있는지	미납액	Payment_Unpaid	금월	Relative_Month_Present	로밍	Roaming		
intent_미납요금_조회	금월 요금 중 콘텐츠 미납 요금 좀 문의할게요	금월	Relative_Month_Present	콘텐츠	Contents_Payment	미납 요금	Payment_Unpaid		
intent_미납요금_조회	금월 요금 중에 로밍 미납액도 있는지	미납액	Payment_Unpaid	금월	Relative_Month_Present	로밍	Roaming		
intent_미납요금_조회	금월 요금에서 로밍 미납분 있나요?	미납분	Payment_Unpaid	금월	Relative_Month_Present	로밍	Roaming		
intent_미납요금_조회	금월 컨텐츠 미납 요금 관해 문의드려요	금월	Relative_Month_Present	컨텐츠	Contents_Payment	미납 요금	Payment_Unpaid		
intent_미납요금_조회	금월 컨텐츠 미납 있나 궁금합니다	금월	Relative_Month_Present	컨텐츠	Contents_Payment				
intent_미납요금_조회	금월 컨텐츠 요금 미납된 거 있는지 확인	금월	Relative_Month_Present	컨텐츠	Contents_Payment				
intent_미납요금_조회	금월 컨텐츠 요금 혹시 아직 안 낸 거 있나?	금월	Relative_Month_Present	컨텐츠	Contents_Payment				
intent_미납요금_조회	금월 컨텐츠 이용료 미납 있는지 좀 봐줘	금월	Relative_Month_Present	컨텐츠	Contents_Payment				
intent_미납요금_조회	금월 콘텐츠 미납 요금 있는지 문의 좀 할게요	금월	Relative_Month_Present	콘텐츠	Contents_Payment	미납 요금	Payment_Unpaid		
intent_미납요금_조회	금월 콘텐츠 미납금 있는지 확인 좀	금월	Relative_Month_Present	콘텐츠	Contents_Payment	미납금	Payment_Unpaid		
intent_미납요금_조회	금월 콘텐츠 요금 미납분 조회	금월	Relative_Month_Present	콘텐츠	Contents_Payment	미납분	Payment_Unpaid		
intent_미납요금_조회	금월 콘텐츠 요금 미납액 있나요?	금월	Relative_Month_Present	콘텐츠	Contents_Payment	미납액	Payment_Unpaid		
intent_미납요금_조회	금월 콘텐츠 요금 중에 혹시 미납된 요금 있어요?	금월	Relative_Month_Present	콘텐츠	Contents_Payment	미납된 요금	Payment_Unpaid		
intent_미납요금_조회	금월 콘텐츠 이용료 연체분 얼마에요?	금월	Relative_Month_Present	콘텐츠	Contents_Payment	연체분	Payment_Unpaid		
intent_미납요금_조회	금월 폰 소액결제가 미납 상태인가요?	소액결제	Micro_Payment	금월	Relative_Month_Present				
intent_미납요금_조회	금월 폰 소액결제가 미납 상태인지 확인하려고요	소액결제	Micro_Payment	금월	Relative_Month_Present				
intent_미납요금_조회	금월 폰 요금 중 미납된 컨텐츠 요금 있나요?	금월	Relative_Month_Present	폰	Mobile	컨텐츠	Contents_Payment		
intent_미납요금_조회	금월 핸드폰 콘텐츠 연체된 요금 얼마냐	금월	Relative_Month_Present	콘텐츠	Contents_Payment	핸드폰	Mobile	연체된 요금	Payment_Unpaid
intent_미납요금_조회	금월 핸드폰 콘텐츠 연체된 요금 얼마야	금월	Relative_Month_Present	콘텐츠	Contents_Payment	핸드폰	Mobile	연체된 요금	Payment_Unpaid
